Year,Capacity,Installed,Y/Y,Country
2000,19,NA,NA,China
2001,24,5,1.26316,China
2002,42,18,1.75,China
2003,52,10,1.2381,China
2004,62,10,1.19231,China
2005,70,8,1.12903,China
2006,80,10,1.14286,China
2007,100,20,1.25,China
2008,140,40,1.4,China
2009,300,160,2.14286,China
2010,800,500,2.66667,China
2011,3300,2500,4.125,China
2012,7000,3700,2.12121,China
2013,18300,11300,2.61429,China
2014,28199,9899,1.54093,China
2015,43530,15331,1.54367,China
2016,72911,29381,1.67495,China
2017,122122,49211,1.67495,China
2018,204548,82426,1.67495,China
2019,342608,138060,1.67495,China
2020,573853,231244,1.67495,China
2021,961176,387323,1.67495,China
2022,1609923,648747,1.67495,China
2023,2696543,1086620,1.67495,China
2024,4516580,1820037,1.67495,China
2000,493,NA,NA,USA
2001,543,50,1.10142,USA
2002,555,12,1.0221,USA
2003,534,-21,0.96216,USA
2004,575,41,1.07678,USA
2005,551,-24,0.95826,USA
2006,508,-43,0.92196,USA
2007,612,104,1.20472,USA
2008,864,252,1.41176,USA
2009,892,28,1.03241,USA
2010,1212,320,1.35874,USA
2011,1818,606,1.5,USA
2012,4327,2509,2.38009,USA
2013,9253,4926,2.13843,USA
2014,18321,9068,1.98001,USA
2015,26473,8152,1.44495,USA
2016,33957,7484,1.28269,USA
2017,43556,9599,1.28269,USA
2018,55869,12313,1.28269,USA
2019,71663,15794,1.28269,USA
2020,91921,20258,1.28269,USA
2021,117906,25985,1.28269,USA
2022,151237,33331,1.28269,USA
2023,193991,42754,1.28269,USA
2024,248830,54840,1.28269,USA
2000,60,NA,NA,Germany
2001,76,16,1.26667,Germany
2002,162,86,2.13158,Germany
2003,313,151,1.9321,Germany
2004,557,244,1.77955,Germany
2005,1282,725,2.30162,Germany
2006,2220,938,1.73167,Germany
2007,3075,855,1.38514,Germany
2008,4420,1345,1.4374,Germany
2009,6583,2163,1.48937,Germany
2010,11729,5146,1.78171,Germany
2011,19599,7870,1.67099,Germany
2012,26380,6781,1.34599,Germany
2013,31010,4630,1.17551,Germany
2014,36056,5046,1.16272,Germany
2015,38432,2376,1.0659,Germany
2016,59128,20696,1.53852,Germany
2017,90970,31842,1.53852,Germany
2018,139959,48989,1.53852,Germany
2019,215330,75371,1.53852,Germany
2020,331289,115959,1.53852,Germany
2021,509694,178405,1.53852,Germany
2022,784174,274480,1.53852,Germany
2023,1206466,422292,1.53852,Germany
2024,1856171,649705,1.53852,Germany
2000,330,NA,NA,Japan
2001,453,123,1.37273,Japan
2002,637,184,1.40618,Japan
2003,860,223,1.35008,Japan
2004,1132,272,1.31628,Japan
2005,1422,290,1.25618,Japan
2006,1709,287,1.20183,Japan
2007,1919,210,1.12288,Japan
2008,2144,225,1.11725,Japan
2009,2627,483,1.22528,Japan
2010,3618,991,1.37724,Japan
2011,4914,1296,1.35821,Japan
2012,6632,1718,1.34961,Japan
2013,13599,6967,2.05051,Japan
2014,23339,9740,1.71623,Japan
2015,34150,10811,1.46322,Japan
2016,46528,12378,1.36246,Japan
2017,63393,16865,1.36246,Japan
2018,86371,22978,1.36246,Japan
2019,117677,31306,1.36246,Japan
2020,160331,42654,1.36246,Japan
2021,218445,58114,1.36246,Japan
2022,297623,79178,1.36246,Japan
2023,405501,107878,1.36246,Japan
2024,552480,146980,1.36246,Japan
2000,1250,NA,NA,World
2001,1615,365,1.292,World
2002,2069,454,1.28111,World
2003,2635,566,1.27356,World
2004,3723,1088,1.4129,World
2005,5112,1389,1.37309,World
2006,6660,1548,1.30282,World
2007,9183,2523,1.37883,World
2008,15844,6661,1.72536,World
2009,23185,7341,1.46333,World
2010,40336,17151,1.73975,World
2011,70469,30133,1.74705,World
2012,100504,30035,1.42622,World
2013,138856,38352,1.3816,World
2014,178391,39535,1.28472,World
2015,229300,50909,1.28538,World
2016,324566,95266,1.41547,World
2017,459413,134847,1.41547,World
2018,650284,190871,1.41547,World
2019,920455,270171,1.41547,World
2020,1302873,382418,1.41547,World
2021,1844173,541300,1.41547,World
2022,2610365,766192,1.41547,World
2023,3694885,1084519,1.41547,World
2024,5229985,1535101,1.41547,World
2015,229300,NA,1.25,GTM Research
2016,286625,57325,1.25,GTM Research
2017,358281,71656,1.25,GTM Research
2018,447852,89570,1.25,GTM Research
2019,559814,111963,1.25,GTM Research
2020,699768,139954,1.25,GTM Research
2021,874710,174942,1.25,GTM Research
2022,1093388,218678,1.25,GTM Research
2023,1366735,273347,1.25,GTM Research
2024,1708418,341684,1.25,GTM Research
